01020003	014E14
015DE3	015DE2
015DF0	015DEF
015DFA	015DFD
015E00	01531D
015E0A	015E15
015E0B	017EB8
015E12	01888B
015E25	015E05
015E2B	015E08
015E2C	0188D9
015E2F	015E26
015E30	015F52
015E33	015E10
015E36	015E26
015E40	015E27
015E43	015E0F
015E47	015E2E
015E48	015C4F
015E51	015FBD
015E57	015E3C
015E58	015E3B
015E5F	015E1C
015E63	015E01
015E64	015E01
015E6B	015E2E
015E6C	015E31
015E77	015E76
015E81	015385
015E83	015E7F
015E92	015E84
015EA2	015394
015EAB	015E93
015EBB	015EB6
015EBD	015BD3
015EBF	015E99
015EC1	015395
015EC2	0153A2
015EC8	0153A6
015ECE	015EBC
015EDA	0153A8
015EDF	015E99
015EE0	015382
015EE1	015E91
015EE2	015E9F
015EE3	015E7F
015EEC	015E90
015EF0	015385
015EF3	015385
015EF5	015DE1
015F09	015958
015F0D	018D30
015F10	018D30
015F12	015F11
015F33	015F2A
015F35	015F20
015F37	015F3A
015F3E	015F39
015F48	015F39
015F4A	015F3A
015F4C	015F25
015F4E	015F2F
015F65	015F66
015F83	015F80
015F8F	01965F
015F91	015F84
015F93	014ECE
015F9E	014ECE
015FA0	015F95
015FB3	015FB7
015FB9	015F7B
015FC8	014EC1
015FCE	014EC1
015FDC	015E94
015FE2	01609F
015FF0	0160B4
015FFC	016177
016018	0156FA
016023	015C24
01602D	014F56
016031	015306
016033	01604D
016046	016052
016056	01601D
01605F	015FF7
016060	01602A
016061	01541D
016065	01803B
016071	0160A6
016085	0160A6
01608B	01541D
016090	0160D5
016091	016016
0160A4	015306
0160A9	01607C
0160AA	016076
0160B3	015FB7
0160B5	016005
0160B6	0195F7
0160D6	0160D5
0160E1	016076
0160E3	01603B
0160EA	015FB7
0160F1	01607C
0160F2	01607D
0160F7	018822
0160FB	01607B
016105	018AFD
016111	016080
016119	01606A
01611B	017231
01611C	0160EC
016128	0160AB
01612C	018BC9
01612F	01609A
016133	0160E7
016134	016006
016137	01607A
016138	016574
016139	016080
01613B	01900A
01613C	01614E
01613D	01535A
01613E	015FFE
016142	01607F
01614B	016001
01614D	016120
016158	0160E8
016159	0160ED
01615A	0160ED
01615F	016078
016163	0160EF
016164	0160AB
01616A	016004
01616B	016002
01616E	018651
016173	0160AD
016176	015E86
01617C	01617D
016182	015FE7
016185	016078
016187	0161A9
01618A	0160EB
016190	01601C
016191	0151ED
016192	016126
016196	01616D
016198	01559C
016199	01559C
01619A	0160EE
0161A4	016124
0161AB	0160AF
0161AE	016003
0161B2	015BAA
0161B6	015FC6
0161C3	0152E4
0161C7	016073
0161C9	015E94
0161CC	01603F
0161D0	016000
0161D5	016079
0161DC	0161F5
0161DF	01603C
0161E3	0161D1
0161E8	016079
0161F2	0160E9
0161F4	015FCF
0161F6	0161D2
0161F7	016000
0161F8	0160AC
0161FA	015FCF
0161FC	0160E7
0161FE	016151
016200	01604B
016207	016206
016214	01620B
01621D	018D3C
01621E	01621B
016220	0157F4
016226	016218
016227	016217
016229	01622C
016230	016218
016232	01620F
016236	016237
016238	016237
016255	0162C2
01625E	01634D
016272	0164D2
01627B	01635F
016283	0162DA
016285	0162D8
01628D	0162EF
01629C	0162D4
01629D	0162D7
01629E	0162E9
0162B8	01631F
0162BB	014F38
0162CF	0162FF
0162E0	0164DA
0162E1	016269
016304	016269
016305	016306
01630D	016821
016314	0165C5
016315	016444
016319	014E3E
016331	016332
016335	015F04
01633E	01631F
01633F	0163D2
016340	016367
016341	016405
016344	016551
01636B	01626A
016374	01603B
016375	01649A
01637F	016816
016383	01626B
016384	0162A1
01638B	0162B5
016397	01631C
016399	016323
01639B	016302
0163C0	0162E3
0163C8	0163AC
0163DA	01626C
0163DB	016362
0163EE	016325
0163F7	0163D2
0163F9	0180CC
016403	01603B
01640D	01635F
016417	016363
01642F	01638F
016436	0162A2
01643C	0162F3
01643E	0169A8
016442	016444
01644F	018202
016451	0163B4
01645C	0163BC
01645F	016402
016464	0162A2
01646F	01631A
016473	0162A0
016476	01629F
016477	016284
01647B	0163BA
016483	0151FB
016486	016487
016488	01635E
01648F	016326
016490	016491
016493	016320
01649F	016322
0164A3	0163B8
0164A5	0162E8
0164A6	01626F
0164AB	01629A
0164B2	016251
0164B3	0163FF
0164B9	016405
0164BB	01631E
0164BE	01631D
0164BF	016361
0164C1	0162E5
0164C4	0163B3
0164C6	0164AF
0164C7	0162E9
0164CA	0151FB
0164CB	016321
0164D1	0163A5
0164D3	0139DF
0164D4	0162C5
0164E0	016324
0164E1	0162AC
0164E5	0163FD
0164E7	014E3E
0164EC	0162DF
0164EF	016448
0164F0	0162E7
0164F1	016401
0164F2	0163B7
0164F4	016269
0164F7	0164B7
0164F9	01644A
0164FA	016446
0164FB	0164DE
0164FC	0164B8
0164FE	016270
0164FF	016458
016502	0164C2
016504	016445
016506	0164B5
016508	016343
01650F	0162E2
016514	0162E6
016516	016484
016519	016400
01651B	0164BA
01651C	01643A
01651D	016444
01651F	016343
016522	016512
016523	01631B
016524	01644A
016528	016432
016529	016321
01652A	016405
01652C	0163FD
016532	016567
016537	018003
01653D	019881
016542	0153E9
01654E	016559
016557	018D25
016573	016571
016575	01654C
016578	016570
016582	01655B
016583	016BD9
016588	015B66
016589	019F50
01658D	0189C9
01658E	01658B
016595	016593
0165AC	0165A9
0165B5	0165B2
0165B7	0165AD
0165B8	01529A
0165C9	016577
0165D1	0165D6
0165E3	0165E2
0165EE	0165ED
0165F3	017684
0165FD	0166BE
0165FE	016625
016618	018BBF
01661A	01614E
01661C	019633
01661E	0170B3
01662C	01660F
01663B	016602
016642	0165F6
016644	016643
016648	01768E
016649	01664B
016658	0165F1
01665D	01663C
016665	017696
016673	016670
01667B	016697
016681	016653
016685	016645
016688	016655
01668E	016620
016692	016674
016698	0165F8
01669C	01666E
0166A0	017693
0166A2	017545
0166A6	0166C6
0166AB	016682
0166C1	0166A8
0166C4	016654
0166C5	016654
0166C7	016619
0166C9	016653
0166CD	0166A4
0166D0	01661F
0166D6	0166A7
0166E0	0165F7
0166E8	01663D
0166EC	016652
0166F5	0166F3
0166F8	014E66
0166FA	0166F9
0166FD	0166FE
016703	014F1A
016712	0180AD
016716	016717
01671E	01671F
016722	01671B
016727	0180E7
016736	016735
016771	014E1C
016780	01677E
016788	016787
01678F	016960
0167F0	015948
0167F9	0167FF
0167FB	0167E5
0167FE	0167E9
016801	0167F3
016804	018363
016814	015951
016822	0167CF
016852	016851
016859	016745
01685C	016A31
01686E	01676F
01686F	016979
01687A	0167F3
016894	016800
016896	018D1D
016898	0167A7
01689D	016761
01689F	0167AD
0168A5	019B06
0168B9	0169DF
0168C3	0168A8
0168C4	015F03
0168CA	0168CB
0168D6	0167A8
0168D7	0167A3
0168DE	0168B1
0168DF	01680B
0168E5	016A0A
0168E7	016808
0168EC	01684A
0168F2	016816
0168F7	0185AE
016918	01695A
01691C	0168C0
016936	0168D5
01694A	016768
016953	0167AB
016955	01692D
016961	016986
016965	016966
016968	016862
01696D	014E1A
016973	016885
016975	016781
01697D	014E50
01698D	016954
016998	0177E9
0169A1	017D20
0169A2	0167B6
0169A6	015E79
0169AE	018363
0169B2	016985
0169BF	016864
0169C7	0169D9
0169CB	016784
0169CD	0167AA
0169D7	016865
0169D8	016837
0169DE	01680A
0169E7	016920
0169E8	016901
0169EA	016982
0169F3	016868
016A01	016869
016A02	014E50
016A05	01679E
016A13	01697C
016A19	016807
016A1E	0167A2
016A22	018311
016A23	016837
016A29	016743
016A39	016811
016A3A	016866
016A45	016A21
016A48	016861
016A4A	0169B4
016A4B	016865
016A5F	01673A
016A62	01692D
016A64	01854A
016A66	015E62
016A6B	016A2A
016A70	0169D4
016A81	016AA9
016A89	0167FD
016A92	0167AB
016A94	016863
016A9A	01695A
016A9C	016867
016A9D	01696B
016A9F	0169DA
016AA2	0168C0
016AA3	016A2F
016AAF	0167B1
016AB3	0169DF
016AB4	016866
016AB8	0167E0
016ABB	0169DB
016AC3	0167DC
016AD3	016A79
016ADA	016988
016ADB	016809
016ADD	01691F
016ADE	016A7C
016ADF	01680E
016AE5	016A71
016AE7	0169E0
016AE8	01680C
016AEA	0167A5
016AEC	016987
016AF3	01680A
016AF5	016A35
016AF8	016989
016AFA	0168C2
016AFB	016A31
016B04	01680F
016B05	016989
016B0A	016743
016B0F	016924
016B12	01683E
016B16	016984
016B1B	016777
016B1E	0168C2
016B2C	0154B3
016B35	016B3E
016B3D	0194A6
016B42	015598
016B4D	01545C
016B50	016B27
016B57	015578
016B5B	01655B
016B5F	016B24
016B60	01555C
016B61	016B22
016B68	016B65
016B69	016B65
016B6B	018DDD
016B6C	01524D
016B6F	019F7F
016B71	018E35
016B72	015C81
016B74	016B77
016B78	015F52
016B7E	01520E
016B7F	016B81
016B98	016B8B
016B9E	016B92
016BA4	016B87
016BAB	016B9A
016BAE	016B93
016BAF	016BA1
016BB1	016B7C
016BB2	016B7C
016BBA	016740
016BBB	0158F3
016BBC	0158F3
016BBD	016DC6
016BC0	016BC1
016BC6	016BB4
016BC9	01533B
016BCE	016BCF
016BD1	0159D0
016BD8	016BD7
016BFF	016BF5
016C02	017266
016C08	016BE1
016C0A	016BE1
016C0C	016C07
016C23	016C14
016C2B	016C22
016C2C	016C29
016C31	016C27
016C33	016C32
016C37	0151B0
016C3B	016CD0
016C53	016CC5
016C59	016C61
016C5A	016C61
016C73	016C74
016C78	016EC2
016C7A	0151B3
016C92	016CA1
016C96	0151B2
016C97	016DFB
016CA2	016CFD
016CB2	016CB1
016CC1	0151B5
016CF2	016D4E
016D02	016DB2
016D13	016E0D
016D1F	016D95
016D24	016CC9
016D2F	016D01
016D36	016C79
016D64	016C6F
016D79	016D43
016D87	016CFE
016DB1	016DA8
016DBC	0151C9
016DC8	016C68
016DDA	016CEA
016DDB	016D59
016DDC	0151AF
016DEA	016CA6
016DF5	016E0A
016DF6	016D9E
016DF8	016E05
016DFA	016D45
016E01	016E0A
016E07	016E34
016E08	016D4E
016E13	016EAA
016E15	016E0A
016E19	016DA3
016E1B	0151CF
016E22	016CA8
016E26	016DA1
016E2B	016CC4
016E2C	016D4B
016E3E	016D51
016E57	018451
016E5E	016D48
016E6F	016C64
016E7B	016DF3
016E7C	016D85
016E7D	016DC4
016E80	016EE1
016E88	016CA9
016E96	0151D6
016E9D	016C9F
016EA4	0151AF
016EAB	016E29
016EAE	016D49
016EB3	016DA2
016EB8	016CDD
016EBC	016E7F
016EC4	016CA7
016EC5	01706D
016ECC	016DA4
016ECE	018365
016ED9	016C47
016EDB	016DEB
016EDD	016CF7
016EE8	016D5C
016EEC	016CAA
016EEF	016EDE
016EF2	016E17
016EF3	016EF4
016EF8	016D52
016EFB	016D50
016EFE	016EDA
016EFF	016EE1
016F01	016E14
016F0A	016E87
016F11	016E89
016F19	016E4D
016F1A	016CA4
016F22	016C49
016F23	016D9F
016F2C	016E0D
016F32	016DA8
016F35	016E86
016F38	016E10
016F3F	016D46
016F41	01988D
016F44	016F31
016F45	01704C
016F51	016CFC
016F54	016D01
016F59	016CA9
016F5B	016F5C
016F64	016DA6
016F6C	016EE9
016F6F	016D54
016F70	016E83
016F77	016ED7
016F79	016F7A
016F7F	016DA0
016F80	016DA9
016F82	016F84
016F86	016D47
016F87	016D9D
016F91	016E9C
016F97	016DA7
016FA0	016E11
016FA3	016D63
016FA4	016CFD
016FA6	016EEA
016FAB	0185D5
016FAE	016D4D
016FB0	016F4B
016FB1	016DC0
016FC1	016D4A
016FC3	016D53
016FD5	016E7F
016FD8	016CDE
016FDC	016D55
016FDF	016D4E
016FE4	016D9B
016FE8	016ECB
016FEB	016EE5
016FF0	016F4D
016FF1	016D5C
016FF3	016F5C
016FF5	016D5C
016FF6	019614
016FFA	016E85
016FFC	016CFA
016FFE	016EE4
017001	016F3E
017006	016E0E
017009	016CFB
01700F	016D4F
017013	016F84
017015	016FD2
017018	016CF8
01701D	016CA5
01701F	016F47
017026	016F74
017027	016CF7
017028	016FD1
01702C	016FD1
017032	016F4B
01703E	016F9C
017043	016CA3
017044	016EE0
017051	016D12
017055	016F13
017058	016EE9
01705D	01704F
017061	016F9C
017063	016E7E
017064	016EE6
017067	016EDF
01706E	015149
017074	0170D8
01707D	01707E
01708D	0153DB
017097	015149
0170A4	017167
0170B2	0170B1
0170BA	014E3A
0170CF	014E4C
0170EE	0170C8
0170F1	0170AF
0170F4	0170C3
017103	018D6B
01710F	014E9F
017121	0165E0
01712E	017098
017134	01715C
01713C	0170E7
017149	0170BC
017151	01716E
017152	01709C
017159	0170DF
01715A	01715B
017162	018315
017165	017115
017169	0170E6
01716C	017080
01717C	017092
017192	018367
017197	01709D
0171B1	0170ED
0171BE	0170BD
0171C1	0170E8
0171C8	01706F
0171CC	01711A
0171D2	0170E7
0171D4	01711A
0171D9	0170EB
0171DC	017116
0171DF	018425
0171E6	01707F
0171ED	0170DB
0171F4	0170E9
0171FC	0170EC
0171FD	017118
0171FE	017118
0171FF	018000
01720D	0170C1
017210	017089
017213	017130
017215	0171EE
01721B	0170C2
017224	0170C2
017225	0170DB
01722D	014E89
017232	014E3A
01723A	017237
01723C	014FCE
01723E	015C14
017240	015E8A
017250	0195F8
017258	01724D
01727D	017275
017282	017281
017286	017279
017287	015954
017296	018366
01729B	017266
0172A0	01727A
0172A2	01728A
0172A7	01727A
0172B2	018C7A
0172B3	018C79
0172C0	0172B6
0172CC	017329
0172E2	018C89
0172E5	015F87
0172F9	0172ED
0172FD	0172C8
017302	01608D
017312	01538C
017319	0172F0
01731F	01730E
017328	01733F
017336	0172B9
01733B	0172F2
017341	0172B8
017343	015446
017344	0172F1
017345	0172EE
01734E	015956
017356	018C6E
017363	01517D
017367	0172F7
017368	0172EC
01736A	0172EF
01736B	017303
017370	0172DE
017372	0183B7
017375	01730E
017377	0172B7
017378	01517D
01737A	01736D
01737B	01732E
01737C	017315
017380	017321
017385	015999
0173A8	0173CF
0173AA	017433
0173E1	017434
0173E4	015B9D
0173FE	0173B0
017416	0176CF
017439	017434
01743F	0173F2
01744B	0173AE
017458	01740A
017463	017410
017464	017476
017469	0183B9
01746A	01739B
01746C	0165D2
017472	0173B1
017474	0173CF
017484	01749F
017489	01740F
01749D	017470
0174A1	01740E
0174A2	017460
0174A3	017391
0174A6	017477
0174B0	0173AF
0174BD	0173BA
0174C8	017483
0174CA	01743C
0174CF	0173D1
0174D4	01748E
0174DA	0174D2
0174E1	016267
0174EB	0176C6
017506	0174F7
01750C	0174EF
017515	0174EE
01751E	015C1D
017522	014EA7
017523	014EA7
017542	014EA9
017544	017559
017546	014EA9
01754D	01754C
01755D	014EA9
017562	016BD5
017563	017B54
01756B	01753B
01756C	017572
01756D	017572
01756E	014EA9
017570	015F02
017573	0153E0
017575	01753B
017576	015F53
01757B	01584D
017587	017574
01758A	0153E0
01758E	01758F
017598	01809B
0175A9	017601
0175D9	0175C9
0175F3	0175F2
0175F5	0160B8
0175FE	0175B4
017609	016108
01760B	0175AF
01760D	0175A1
017613	0175EA
01761E	017617
017621	0175AE
017627	01759F
01762C	0180C0
01762E	017606
017631	015AD5
01763A	017618
01763B	017618
017642	017597
017645	017624
017646	0175E8
017647	0175EB
017649	017605
01764F	01761D
017651	018113
017658	0175A0
01765F	01762A
017661	0175F4
017662	0175D2
017664	017596
017667	0175AC
017669	01765E
01766C	017663
01766D	01763F
01766E	01763E
017670	0175C8
017671	01762B
017672	01766B
01767A	01767C
017690	01768B
01769A	017691
0176A1	01769E
0176B7	019F13
0176B8	0176B2
0176B9	0176B2
0176BA	0176B1
0176BC	019F13
0176C7	0176CD
0176CB	0194B5
0176DC	0176D7
0176DE	0176CF
0176E1	015C3D
0176E3	0176D1
0176E4	0176D8
0176E7	015362
0176FB	0176FC
01770C	0153BF
01770E	01793A
017718	01614E
01771E	01771F
017725	017726
01773E	014F17
017742	017709
01775C	017741
01775E	017750
017764	017765
017798	01770D
01779E	017792
0177A4	0177AC
0177B9	0166A7
0177BC	017751
0177C1	017785
0177D9	0177B0
0177DA	0177A9
0177DE	018C32
0177DF	0169CA
0177E6	014FAF
0177EF	0177EB
0177F4	017887
017815	01788E
017836	0173C0
017842	0194E8
01784B	01788D
01784F	017814
017864	017856
017868	017817
01786F	01781A
0178A9	017855
0178AA	017827
0178AD	017800
0178AF	017459
0178B1	017877
0178B8	01781C
0178BA	01786E
0178BB	01786E
0178BC	017801
0178C2	01786B
0178CE	018C3F
0178D1	017859
0178DA	017816
0178E3	01789C
0178E5	0178CA
0178E7	01789B
0178EF	0177F6
0178F0	0158A1
0178F8	017887
0178FD	017857
017904	01785A
01790E	017840
017910	0189F7
017919	01788D
017920	0178C1
017926	0177FF
01792A	01783A
01792B	01783E
01792C	0177FE
017931	01783B
01797F	017984
01798D	017978
01798E	01796F
017995	01794E
0179A5	01797A
0179A9	017940
0179AA	017985
0179AE	01793C
0179B0	017962
0179B1	017977
0179B8	018E42
0179C8	017C7C
0179CA	015E74
0179CC	0179CB
0179CF	018017
0179D0	018018
0179D7	01996B
0179F6	017CA2
017A09	017CB3
017A2B	01798F
017A2D	0179F8
017A2E	0179CD
017A31	0179F0
017A32	017A3B
017A38	0184C4
017A3E	017A3F
017A42	017A57
017A4C	017A23
017A4D	0179EF
017A4E	019896
017A4F	017A33
017A5C	0179CD
017A61	017A51
017A62	0179FD
017A63	017A70
017A64	017CEF
017A69	017A33
017A6D	017A06
017A6F	017A51
017A82	017262
017AA9	017A9D
017AAA	016D3C
017AAE	017A77
017AB4	01586B
017AB5	017A8E
017AB6	017AAD
017ABA	017AA5
017AC3	017076
017AC4	017A9C
017AC5	017A8D
017AC6	017A77
017AC7	017AA6
017AC8	017076
017ACA	017A83
017AD2	015947
017ADA	014F2B
017ADC	019F99
017ADD	015E76
017AE2	014FDF
017AEA	017AD6
017AF6	017ADE
017AF8	017ADE
017AFC	017BF7
017AFE	017BEA
017B27	01518C
017B42	017BEA
017B46	017B14
017B4D	017B0B
017B5E	017B56
017B66	017BA1
017B67	017B15
017B6D	017B97
017B6F	017BB8
017B7A	017B50
017B8B	017B3A
017BC0	018282
017BCB	017BA7
017BE4	017B03
017BE9	017B5B
017BED	017B3C
017BF2	015F57
017BF3	017B5A
017C00	017BA6
017C02	015E3C
017C0D	017BD3
017C12	017BE1
017C18	017BAB
017C1E	017BAA
017C21	017B80
017C23	017BD1
017C2B	017BAB
017C39	017B5C
017C3D	017B7E
017C3E	015E18
017C43	017BEE
017C44	017BD1
017C4C	017B79
017C58	017C50
017C59	017B93
017C5B	017BEF
017C5C	017BA8
017C5F	017C41
017C60	017B3C
017C64	017C56
017C69	017B3E
017C6A	017C16
017C6C	017BF1
017C6D	017C1B
017C6E	017BA9
017C8B	017CB9
017C93	016CD4
017C9B	018083
017CA7	015986
017CC9	017CBD
017CCD	017CA2
017CDB	017CD6
017CDD	017CC1
017CDE	017CAA
017CE7	017CAE
017CF2	017C9D
017CF4	017C74
017CF6	017C9C
017CF9	017E9F
017CFA	017EA0
017CFE	017EA0
017D00	017EAA
017D02	017EA3
017D04	017EA6
017D05	017EA2
017D06	017EA1
017D07	017EA5
017D08	017EA8
017D09	017EAB
017D0B	017EB9
017D0D	017EB3
017D10	017EBD
017D13	017EBE
017D14	017EAF
017D15	017EB0
017D16	017EBC
017D17	017EB1
017D18	017EAE
017D19	017EB8
017D1A	017EA7
017D1B	017EB7
017D1C	017EAD
017D1D	017EB4
017D21	017EBA
017D28	017F1A
017D30	017EC6
017D31	017EC2
017D32	017EC1
017D33	017EC5
017D39	017ECD
017D3A	017EC0
017D3C	017ECB
017D3F	017ED0
017D40	017ECC
017D42	017EC8
017D43	015F26
017D44	017EC4
017D46	017ECA
017D4B	017EA9
017D4C	017ECF
017D4E	017ED7
017D50	017ED3
017D55	017EDD
017D56	017EA9
017D5D	017ED4
017D5E	017EDE
017D61	017EDC
017D62	017EDA
017D64	017EBF
017D66	017ED9
017D68	017ED2
017D70	017ED6
017D71	017EDF
017D72	014E1D
017D73	017EDB
017D76	017EDD
017D79	017EE2
017D81	017ED1
017D82	017EDF
017D83	017EE1
017D86	017EE0
017D88	017EE8
017D89	017EE3
017D8C	017EE4
017D8D	017ECB
017D8F	017EE5
017D93	017ECF
017D95	017EC7
017D98	017F1D
017D99	017EE7
017D9C	017EFC
017DA0	017EFF
017DA2	017EF8
017DA3	017EFB
017DA4	017ECD
017DAB	017EBF
017DAC	017EF6
017DAD	017EF4
017DB0	017EFE
017DB1	017EB2
017DB2	017F51
017DB3	017EF7
017DB8	017EB6
017DB9	017EFA
017DBA	017EEE
017DBB	017EFD
017DBD	017EF0
017DBE	017EEB
017DBF	017EF5
017DC4	017EF2
017DC7	017F01
017DCA	017D27
017DCB	017EEF
017DCF	01603B
017DD0	017E41
017DD1	017EFF
017DD2	017EEA
017DD6	017EEA
017DD7	017F03
017DD8	017F04
017DD9	017F02
017DDA	017EBF
017DDC	017EF5
017DDD	017F09
017DDE	017F0E
017DDF	0191CD
017DE0	017F14
017DE1	017F17
017DE3	017F18
017DE6	017F0C
017DE8	017F16
017DE9	017F13
017DEC	017F05
017DEF	017EAC
017DF1	017F11
017DF2	017F08
017DF4	017EC3
017DF9	017F07
017DFC	017F0A
017DFE	017F20
017E04	017EF3
017E08	018426
017E09	017F19
017E0A	017F22
017E0B	017F12
017E10	017EC9
017E11	017F23
017E15	017F0A
017E17	017F1E
017E1B	017F1A
017E1D	017F1C
017E1E	017F1F
017E1F	017F1B
017E23	0153BF
017E26	017EB5
017E27	017EE6
017E2B	017F1D
017E2D	017F21
017E2E	017F29
017E31	017EB5
017E32	017F27
017E35	017F26
017E36	017D77
017E37	017F15
017E39	017F25
017E3D	01603B
017E3E	017EE9
017E43	017EF7
017E45	017F2B
017E46	017F2A
017E52	017F2F
017E54	017EC7
017E55	017F2E
017E56	014F1E
017E59	017FFB
017E5A	017F2D
017E5B	017EF0
017E5E	017ED5
017E69	017EF3
017E6A	017ED8
017E6D	018327
017E6E	017F30
017E6F	017F33
017E70	017F32
017E73	017F34
017E79	017ECE
017E7C	017EE7
017E7D	017F24
017E7E	017F31
017E88	017F2C
017E89	017F35
017E8A	017EA9
017E8C	017EED
017E8D	017D6B
017E8E	017E4A
017E8F	017F20
017E92	017F20
017E93	017F28
017E96	017E4A
017E98	017F35
017E9C	017F06
017F37	015378
017F3D	0194B5
017F47	016A3D
017F4C	017F42
017F4E	017F48
017F53	017F54
017F65	017F82
017F66	017F58
017F70	017F5A
017F75	019A82
017F77	017F62
017F78	017F5A
017F83	015196
017F85	017F57
017F86	017F74
017F88	017F81
017F91	018BF1
017F97	017F8C
017F99	017F8E
017FA3	017FA4
017FA5	017F9F
017FA8	017FA1
017FA9	014E49
017FAE	017FB9
017FB4	017FB6
017FC4	017FC5
017FC6	017FE0
017FCD	0162AB
017FD2	014E60
017FEC	017FDA
017FF9	017FD8
018011	017AEF
018021	019504
01802C	018027
01802E	018022
01802F	017A6B
018040	01804C
018056	015723
01805E	0195FB
01805F	015A7F
018061	01806A
018066	01806A
018068	018054
01806B	018054
01806E	018054
01806F	018054
018070	01806A
018072	0158F0
018073	018038
018075	018069
018076	018042
018077	01804C
018079	01804D
01807D	01542C
01807E	01804B
018085	018083
018088	018087
01808E	0180AF
0180AC	0175A3
0180B8	0180B9
0180BB	0180AF
0180DF	0162C7
0180F7	0180F8
018104	018122
018105	0180C1
018107	0180C1
01811B	0180EB
01812B	018131
018133	018111
018134	0175DE
018139	0180C0
01814E	0180BE
018156	0180E8
018161	018136
018166	018111
01816B	0180BF
018173	01811A
018178	0180A0
018181	0180B7
018183	01817D
018193	0180A0
018195	018158
01819A	0180A4
0181A0	0180F6
0181A9	01817B
0181B8	019AD3
0181BD	0180C6
0181BE	01810D
0181BF	018113
0181C8	01814A
0181C9	018138
0181CD	018110
0181CF	018191
0181D3	01810F
0181D5	018198
0181D8	01814A
0181DA	0180EA
0181DF	01810F
0181E0	018114
0181E2	0181DC
0181E5	015367
0181E8	014E34
0181F0	0181ED
018207	014E0E
018208	015174
018209	014E3E
01820A	0165E7
01820B	018845
018218	019986
018221	018239
018229	018239
018241	019020
01824A	018236
018259	018231
018265	01696B
018266	018230
01826B	01823B
018271	018270
018276	018273
018277	018273
018288	017F8A
01828C	01828B
0182BB	01520D
0182D0	017B2C
0182E9	018469
018306	018305
018318	018354
01831F	017B14
018330	018438
018332	015179
018345	017B54
018358	015E84
01838A	015E84
01838F	01838E
018391	0184EC
018396	01830E
0183A2	01835A
0183A7	0182CB
0183BE	0183BD
0183C4	014E1C
0183CF	018377
0183D3	01679C
0183ED	0182D4
0183EF	01534E
0183F7	015E1A
01840A	0183B1
018415	018360
018420	01840C
01842C	014E07
018432	018431
018435	0183B4
018441	0159DC
018442	0183AC
018449	0153F6
018452	01836D
018455	01839A
018457	017740
018462	0176D6
018464	01836E
018466	0182C7
01846A	0184DF
01846F	01836F
018477	018364
018483	017BC6
018493	0183BC
018494	0183B3
0184AD	01520D
0184B7	018553
0184BC	0182CD
0184C0	01836A
0184CB	0176D6
0184D5	018325
0184EE	0183B2
0184EF	0182C1
0184F4	0183BC
0184FD	01835C
018509	0184D8
018512	018364
018515	018482
01851E	01848C
018523	01848B
018524	0185CC
018526	018311
01852D	01836B
018533	0184A8
018535	0185CF
01853F	01848D
018541	018368
018545	016F2B
018546	018487
01854B	01854A
01854E	01835E
018552	01836C
018555	0183B8
018558	01835B
01855A	01843C
018562	018489
018569	018361
01856A	01829C
01856B	018463
01856D	018427
018577	0184E3
018580	018570
018588	01835F
01858A	0184DF
01858C	018297
018594	018537
018598	018359
0185A6	018350
0185A9	018428
0185AB	0185B0
0185AC	01836F
0185BA	018360
0185BB	0185FB
0185BC	01852F
0185CD	0184DD
0185CE	018369
0185DD	01827A
0185E1	01837B
0185E5	01836F
0185EA	0185AE
0185F4	018574
0185F6	0182C8
0185F8	01854F
0185F9	01853C
0185FA	01853A
018600	01841A
018602	01854A
018604	018572
018606	0182A6
018607	0182CF
01860A	018574
01860B	0182F9
01860D	0185B0
018613	0182CF
01861A	0185D3
01861B	01842E
01861D	018539
01861E	018539
018622	01830F
01862D	015170
018632	018502
01863F	01841D
018646	018502
018655	015904
01865B	01865A
01865C	01864F
01865D	01864E
01865F	0153F7
018666	018665
018667	014E8F
01866F	01866C
018689	01868A
018698	0186D4
0186A6	0186BA
0186C1	01866D
0186CD	018424
0186E5	0186DE
0186FA	0186F1
018706	0186AC
01870B	018782
018716	0186D4
01871D	01871E
018726	018727
018728	018776
018739	01868B
01873A	019713
018744	0186E7
018750	017441
018755	018680
01875F	01732C
018766	01867E
018777	0186B8
018778	018717
01877F	018747
018784	0186F3
01878E	01878D
01879E	018682
0187A1	01868A
0187A2	018424
0187BB	01877C
0187BE	018693
0187C1	01868A
0187C4	0186F0
0187C7	0187C6
0187C8	018748
0187CE	0187A8
0187D6	0187F4
0187DA	0187DB
0187DD	0187B6
0187DF	0187E7
0187E3	01866E
0187E9	0187E8
0187EC	018749
0187EF	0186F2
0187F0	0187CF
0187F6	0186CF
0187F8	018821
0187FB	018681
018805	018747
018806	01867F
01880F	0187F9
018810	0186F4
018811	01877E
01881F	018721
018823	0186CE
018828	0187CF
018829	01870D
018831	0186CA
018836	018695
01883B	0186EE
018842	018844
018846	014F17
018849	015580
018853	01672F
01885B	01536B
01885E	01536B
01887B	0188A1
01889E	01886E
0188A0	01889F
0188B2	0188B3
0188B5	01887D
0188BF	018902
0188CA	018885
0188CC	0188B7
0188CF	0188E1
0188D6	018897
0188DC	018865
0188DD	0188C5
0188E0	0188D9
0188ED	01892B
0188F5	0188F4
018901	0188F9
018903	0188C9
01890C	0188E9
018911	018924
018932	0188E4
018933	0188E2
018938	01891B
01893B	014EB5
018947	0188E5
01894D	016742
01894F	01889A
